Measure,Electrode,Band,Condition,Comparison,p_value,AUC
E,F3,alpha,Eyes_open,A_vs_C,6.677173867208688e-05,0.8727272727272728
E,F4,theta,Eyes_open,A_vs_C,8.18891809391455e-05,0.8681818181818182
A,Fp1,Original,Eyes_closed,B_vs_D,9.559683071725652e-05,0.8510416666666667
E,F7,delta,Eyes_open,A_vs_C,0.000141877893044596,0.14431818181818185
E,O1,alpha,Eyes_open,A_vs_C,0.00014902066910866968,0.8545454545454545
E,Cz,alpha,Eyes_open,A_vs_C,0.00014902066910866968,0.8545454545454546
A,Cz,Original,Eyes_open,A_vs_C,0.00015270847237433422,0.8539772727272728
E,Fp1,beta,Eyes_closed,B_vs_D,0.00016830962965619614,0.8385416666666666
E,Fz,alpha,Eyes_open,A_vs_C,0.0002534342662950662,0.8420454545454545
A,F3,Original,Eyes_closed,B_vs_D,0.00025414084207489276,0.8291666666666666
E,Fp1,alpha,Eyes_closed,B_vs_D,0.0002659108575926617,0.8281249999999999
E,P4,alpha,Eyes_open,A_vs_C,0.00027861409497432474,0.8397727272727272
E,T4,delta,Eyes_closed,B_vs_D,0.0002909363728567577,0.17395833333333333
E,T5,alpha,Eyes_open,A_vs_C,0.0003208137008505385,0.8363636363636364
E,Pz,alpha,Eyes_open,A_vs_C,0.00048609127241261565,0.8261363636363636
E,F4,alpha,Eyes_open,A_vs_C,0.0005322957317436309,0.8238636363636365
E,T6,alpha,Eyes_open,A_vs_C,0.0005569030064000221,0.8227272727272728
E,F8,delta,Eyes_open,A_vs_C,0.0005569030064000221,0.17727272727272728
A,Fp2,Original,Eyes_closed,B_vs_D,0.0005740954175174466,0.8098958333333334
A,F4,Original,Eyes_open,A_vs_C,0.0005820949430268272,0.821590909090909
E,C4,alpha,Eyes_open,A_vs_C,0.0005825664882599101,0.8215909090909091
A,Fp1,Original,Eyes_open,A_vs_C,0.0005825664882599101,0.821590909090909
E,C3,alpha,Eyes_open,A_vs_C,0.0007611472724232951,0.8147727272727273
A,T6,Original,Eyes_open,A_vs_C,0.0008311744112926697,0.8125
A,F3,Original,Eyes_open,A_vs_C,0.0008683867513370431,0.8113636363636364
E,F8,alpha,Eyes_closed,B_vs_D,0.0009323217266762646,0.7979166666666667
F,Fp1,Original,Eyes_closed,B_vs_D,0.0009323217266762646,0.7979166666666667
E,F3,beta,Eyes_closed,B_vs_D,0.0009323217266762646,0.7979166666666666
A,C4,Original,Eyes_open,A_vs_C,0.0009474439294719785,0.8090909090909091
E,F7,alpha,Eyes_open,A_vs_C,0.0009894951400062331,0.8079545454545455
E,Fz,alpha,Eyes_closed,B_vs_D,0.001055093353423131,0.7947916666666667
E,Fp2,delta,Eyes_open,A_vs_C,0.0011753548710449052,0.19659090909090907
E,O2,alpha,Eyes_open,A_vs_C,0.001226611531610789,0.8022727272727272
A,T5,Original,Eyes_open,A_vs_C,0.0013353720757584093,0.7999999999999999
F,T6,Original,Eyes_open,A_vs_C,0.0013353720757584093,0.8
E,T3,theta,Eyes_open,A_vs_C,0.0013353720757584093,0.8
E,P3,alpha,Eyes_open,A_vs_C,0.0014529698199657755,0.7977272727272727
F,Cz,Original,Eyes_open,A_vs_C,0.0015800474466253493,0.7954545454545455
F,T5,Original,Eyes_open,A_vs_C,0.0015800474466253493,0.7954545454545455
